id,name,screen name,location,description,followers,friends,image,favourites,verified,tweets,account_type
787405734442958848,The Best In Dumbest,best_in_dumbest,,"Blame @xaiax, Inspired by @MakingInvisible, using cmu phonetic data to produce incongruous matches.
Some images via Lorem Flickr.",1697,4,False,4,False,"['Let\'s put the ""Hick""\ninto ""Chicken"" https://t.co/zhBYNDRYA3', 'You can\'t get the\n""Leg"" out of\n""Legions"" https://t.co/rtJbk3KRMk', 'We need ""Scat""\nto spell\n""Confiscating"" https://t.co/rB6aGgJzmm', 'Let\'s put the ""Cave""\nback in ""Scavengers"" https://t.co/UsqNMUqhYV', 'You need ""Pot""\nto spell ""Potatoes"" https://t.co/j8KU0TkGNd', 'You need ""Hug""\nto spell ""Huge"" https://t.co/HWKC9eaEEK', 'Let\'s be the ""Bass""\nin ""Embassies"" https://t.co/xE7004geLQ', 'You can\'t spell\n""Deposited""\nwithout ""Site"" https://t.co/hxOWuKzLMr', 'We can be the ""Muse""\nin ""Hippopotamuses"" https://t.co/q6Ju3fg9jR', 'You can be the ""Trim""\nin ""Matrimony"" https://t.co/NkeOqjDEXO', 'Let\'s be the ""Char""\nin ""Charity"" https://t.co/srTSP3IsT5', 'Let\'s be the ""Rave""\nin ""Travesty"" https://t.co/liSrq1Gnc3', 'You can be the\n""Flour"" in\n""Flourishing"" https://t.co/wJ5mR3J116', 'We need ""Easing""\nto spell ""Subleasing"" https://t.co/jwWvSHMpPz', 'You need ""Emu""\nto spell ""Bemusement"" https://t.co/1qfeZFfwEc', 'Let\'s be the ""Ant""\nin ""Depressant"" https://t.co/nDJxGIPAkX', 'You can put the\n""Ortho"" back in\n""Orthodontics"" https://t.co/85qXPh6FjT', 'You can\'t get the\n""Ewe"" out of\n""Farewell"" https://t.co/cPOsqy2LfQ', 'Put the ""Gem""\ninto\n""Acknowledgement"" https://t.co/ipbJFCF74i', 'You can\'t get the\n""Near"" out of\n""Linear"" https://t.co/StASKJdAtS']",bot
796216118331310080,CJ Rubin,CJRubinPhoto,United States,"Photographing the American West since 1980. I specialize in location portraits & events, both indoors & outside, using natural light & portable studio lighting.",823,852,False,516,False,"['Trees on the shore at Point Lobos State Natural Reserve. Just outside Carmel, CA. #landscape #photography https://t.co/rdCgm9pPmh', 'Vintage Photos of Insects and Spiders in Vivid Detail https://t.co/vgflozSyhs via @NatGeoPhotos', 'Beware: Amazon Still Sells Counterfeit Memory Cards https://t.co/NVxhXm7XiX', ""Devils Tower around sunset. Famous as the landing place in the movie 'Close Encounters of the Third Kind'. #landscape #photography    \nhttps://t.co/dHaQTtAhAj https://t.co/GXLBbnmGUa"", 'https://t.co/ZsSjZH8OtA', 'A hiking trail in Stout Grove, Jedediah Smith State Park, California. Some of the oldest trees on earth. #landscape #photography https://t.co/rCDCO6otqQ', 'Cannon Beach and Haystack Rock, viewed from Ecola State Park, OR. #landscape #photography https://t.co/3Vfxrm8ihN', '10 Ghost Towns Around the World - 3 are in the US (Bodie, Chaco, St. Elmo) https://t.co/uDW0wjJcV2 via @NatGeoTravel', 'Landscape Arch, Arches NP, UT. At 290 ft, this is the longest free-standing arch in the western hemisphere, and 5th in the world. #landscape #photography https://t.co/RpJKDljVYC', '""If a day goes by without my doing something related to photography, it’s as though I’ve neglected something essential to my existence, as though I had forgotten to wake up.""\n—Richard Avedon #quoteoftheday #photographer', 'Late afternoon sun illuminating the backs of some trees in Yosemite Valley. #landscape #photography https://t.co/FzKzN4Wlzy', 'How to take photos magazines and companies actually want to use https://t.co/4oCTiQOLF6', 'Sunrise as viewed from the salt flats in Death Valley NP. #blackandwhitephotography #landscape https://t.co/RnwoSqwAa9', 'Painted petroglyphs on the canyon wall in Canyon de Chelly NP, AZ. #archeology #photography https://t.co/t3JHUp1Mnq', '“To me, photography is an art of observation. It’s about finding something interesting in an ordinary place… I’ve found it has little to do with the things you see and everything to do with the way you see them.”\n— Elliott Erwitt #quoteoftheday #photographers', 'Consent in Photography – What to Think About When Photographing People https://t.co/MUvTO3Csur via @digitalps', 'From a recent photoshoot at Sand Harbor, Lake Tahoe, NV.  #landscape #photography https://t.co/vLvlUIZ9Mp', 'Should You Go to College to Become a Photographer?  #Fstoppers https://t.co/wBBSAcvMx0', 'Late afternoon shot of Totem Pole in Monument Valley Tribal Park, ripples of sand in the foreground. #landscape #photography https://t.co/noaQolKzRa', 'An Inside Look at What It&amp;#039;s Like to Photograph a Prestigious Motorsport Event #Fstoppers https://t.co/emryEAItds']",human
875949740503859204,𝙎𝙑𝙂𝙀 𝙂𝙀𝙉𝙏,SVGEGENT,,"Part savage, all gentleman 🧐
                          Content creator and wannabe variety streamer
Currently playing @TESOnline #ESO ⚔️",193,806,False,4105,False,"['Stream in a few hours!\nGoing to start grinding #ElderScrollsOnline cus Blackwood is around the corner\nJoin me!\nThurs 6AM EDT - PC/EU\n#twitch #twitchaffiliate', 'OMG seeing Matt Smith as a Targaryen is the bump my day needed 🔥 https://t.co/Amtf6owJlk', 'I see my favorite jedi is trending\n#obiwankenobi ⬅️ so cute! https://t.co/AnDgWZJLFP', ""Heating issue solved 🌬️🆒\nCleaned and installed a new water cooler from @ARCTIChannel \nIt's so fresh and clean https://t.co/BPckfM0Cxu"", '#CaptainAmerica Damn that looks so good https://t.co/8k5exbbkq6', ""#ElderScrollsOnline is the MMO I've been wanting for a long time"", 'Find me on @Twitch\nThur Fri at 6AM EDT https://t.co/Ub49xqHEdY', '@HanaVdayo Copy pasta to discord 😉', '@HanaVdayo Sounds like good reasons to leave', ""Oh hey #overwatch2 news let's check.. oh https://t.co/sQQdfXgR8w"", ""First shot done! Can't wait to join the Avengers! #vaccinate https://t.co/lf7YoBh35C"", 'This rocks hard 🤘 https://t.co/7lRZ6BHY5a', 'Rewatching The Good Place\nHey @MarvelStudios can we get @MannyJacinto as Iron Fist? Like now please! https://t.co/6m7ju1OKRJ', ""You ever burp while you're wearing your face mask? Dude that's raw 💀"", ""A big hug to everyone who stopped by the stream today 💜 I'll do my best to make the stream run better tomorrow"", 'To fix season eight? https://t.co/wUf4steo7g', 'Toxic fans\n""You don\'t know who Revan is? You\'re the scum that ruins Star Wars!""\n\nActual fans\n""You don\'t know who Revan is? Oh damn! Let me tell you.. and you should try playing.. and reading..""\n\nStar Wars is for everyone.', 'This week 4/15 + 4/16 🦖\n#twitch #twitchstreamer https://t.co/yRfwocjqOm', ""Essentials 🥣 what's yours?\n#cereal #breakfast #anytime https://t.co/jFtXHUlP2n"", 'This place is magical ✨ https://t.co/am8zbnKVQH']",human
756119643622735875,Danielle Tinker,TinkerVHELPK5,"Birmingham, AL","Wife.Godmother.Friend.Feline Fanatic! Assistant Principal, Vestavia Hills Elementary Liberty Park",569,659,False,10099,False,"['Happy National School Principal Day to @BlairInabinet....kind, thoughtful, and brilliant!!! ❤️ @vhelpk5 @vhcschools https://t.co/4WuvImE3iJ', '@Kindlingkinder1 @BlairInabinet So proud of you Lindsey ❤️', 'Screen Free Week-Mystery Readers @vhelpk5 @BlairInabinet @vhcschools https://t.co/BT0KYMkMXa', '@vhelplibrary @vhelpk5 @BlairInabinet Don’t worry my friend...more bags are coming your way soon 👍🏾', 'FACTS: Blair starts a fire and I pour gasoline on it....these beautiful ladies put the fire out and save our lives on a daily basis. Sherry, Lisa, Erin...you are loved and appreciated @BlairInabinet @vhcschools @vhelpk5 https://t.co/mdirqJ6atg', '@teachergoals https://t.co/e6wpJJVTgX', 'It has been an unusual year and I’m excited to have our awesome @vhelpk5 parents on campus ❤️@BlairInabinet @vhcschools https://t.co/y4mLyWryRk', 'Mrs. Beale @VHELPArt having a great time jumping rope 😂😂😂...@VHELP students have turned grocery bags into jump ropes during library #EarthDay2021 @vhelplibrary @BlairInabinet @vhcschools https://t.co/5fCKSmhDn2', '@VestaviaHillsHS @TonyaRozell Looking good VHHS 😘', 'Close friend told me she didn’t know who Emmitt Till was..hurt me to my core..while she alluded to racism not existing. I told the story..she was unbothered. I cried driving home and our relationship is not the same..she has no idea  @AnIvyBelleinED @BlairInabinet @vhelplibrary https://t.co/K1uaMxIioF', 'ACAP Testing 🙌🏾 https://t.co/0hEFyJoQO0', '@ItsDrMordecai Name it....and claim it ❤️....he is adorable!!!', '@teachergoals ❤️ https://t.co/6mwE0PvG9c', '@BettyMWhite Nala and Sarabi ❤️ https://t.co/2HxZzXqu3I', '@TAYLOR_does_IT Be safe 👍🏾', 'Mrs. Harper’s @vhelpk5 kindergarteners GLOW PARTY 🎉🎉🎉@BlairInabinet https://t.co/VbaSSF85lk https://t.co/qCWOUDMu3m', 'Facts!!! https://t.co/Q8BTLpXRXJ', '@Eagles_EIS @4everyoungTom Happy Birthday @4everyoungTom 🎉🎉🎉', '@hagoodmkvhelp @BlairInabinet @vhcschools @vhelpk5 Thank you @hagoodmkvhelp ❤️....I appreciate your kind words and the big bag of SKITTLES 😂🥰😂', 'Happy National Assistant Principals Week to all of my AP buddies ❤️ @vhcschools https://t.co/5dz4dA0kOi']",human
464781334,Joleon Lescott,JoleonLescott,"England, United Kingdom","Loans Manager @mancity, @pumafootball Ambassador, TV Pundit, UEFA A Diploma, obeatson@teamwass.com 📧",748315,118,False,153,True,"['Some friendly faces for tonight 👊🏽\n@btsportfootball https://t.co/Xa919MaU8Z', '@Blackhino 😡', '@Blackhino 39? 🙏🏽', '@Blackhino 40yrs. 🙌🏽', 'Was good speaking with some of the guys for @RisingBallers_ , huge potential. \n\nBest of luck with the journey 👊🏽 https://t.co/hI9TuMY5nb', 'The man, the myth, the legend @aguerosergiokun unbelievable player and all round top guy, an honour to have graced the turf with you amigo.🤙🏽 https://t.co/XTxAs3cKbo', 'Join me on Nexen Road to Man City – a free 45 day virtual fitness challenge starting on 22nd April. Download the Road To Man City App to kick start your journey 👊🏽\n\n📲: https://t.co/rFNJuGzthA\n#NexenRTM #ManCity https://t.co/WQOJABI99W', '@ManCity 😢', 'https://t.co/QGGiUCb8Nv https://t.co/5GSa7lJYfr', 'Big game later today, a honour to have played in a FA Cup final for both teams. \n\nWho is making the Semi-Final?\n\n#Everton #ManCity #EmiratesFACup #FACup https://t.co/oBSvvjt20N', '🙏 thanks @Danny_Batth https://t.co/s6RSEV6xNh', '@NDJ_Official @MicahRichards This guy @NDJ_Official different levels 😂😂😂', '@ChampionsLeague @OfficialVieira Just pass it Pato 😂😂', '#SoccerSaturday\n\nWill there be any shock results today? https://t.co/twk6sJVtnI', '@Wolves What a man. Made me feel at home from Day one. #Muffa', '#ChampionsLeague 🏆\n\n@btsportfootball https://t.co/Q7z9C55wHl', '@ToffeeTVEFC Air B’n’B', 'What’s your result and first goal scorer predictions? #EFC #MCFC https://t.co/ZgsuavM2Jw', 'Catch me on Sky Sports PL and BT Sport 2 now talking about my career🙏 https://t.co/ZzWguTqcPi', 'Love these! A massive thank you to @CliveTyldesley and @CommentaryChart. Amazing memories from 2 games I’ll never forget. https://t.co/DbR10johF5']",human
55050269,Carrie Ann Inaba,carrieanninaba,Los Angeles,"Co-Host of @TheTalkCBS, Judge on @DancingABC, Dancer, Choreographer, Animal Rescuer, Founder https://t.co/qYbW5GlP0C. Instagram https://t.co/71kc6wyIkh",289437,1596,False,5556,True,"['https://t.co/Z1exp8eG7O', 'I have decided to take a leave of absence from @TheTalkCBS to focus on my health and well being. I appreciate the support from you and my family at The Talk and hope to be back soon! ❤️ https://t.co/0RQck8TVBq', 'Hello... it’s been a while. 😘 https://t.co/nvdaR4vJ6x', 'Earthquake.\nWho felt it?', 'Me too! I’m going through one of the worst flares I’ve ever been through. Stay strong. And thanks for sharing.', 'Autoimmune disease is no joke when it wants to flare up. What are your triggers? #autoimmunedisease', 'If you missed my IGTV on how to add peace to your home, you can find it here 💗👇 #homedeco #Peace https://t.co/1Q9VxCeXoj', 'How do you create a peaceful environment? You may be surprised at how simple it is to shift the energy in a room. I’m excited to share my tips with you ☮️🤗 https://t.co/3z6Yxd8Us6 #HomeDecor #peace #selfcare', 'Happy #WomensHistoryMonth everyone! Today we are highlighting just a few of the many incredible women who paved the way for us - click the link below for more. I hope you learn something new just as we did! https://t.co/lZFufcJFb4', 'Are you feeling isolated or lonely during #COVID19 ? It’s okay not to be okay ❤️ Click the link below for practical tips on how to combat loneliness #Mentalhealth #selflove https://t.co/4HaDej2DOf', 'Listen to your heart...there’s nothing else you can do 💗 Click the link below for our tips on how to connect with your heart #selfcare https://t.co/NzHUIS4s7I', 'I’m excited to share this article with you all...therapy has been so helpful to me and I hope you find something helpful in this piece as well 😊 https://t.co/NEBvQKzGlk #selfcare #therapy', 'Don’t miss out on our latest article on the best self care items you might be missing at #Target 🧘\u200d♀️https://t.co/pju7UGkUSb', 'Happy #presidentsday2021 🌟 I wanted to let everyone know that I’ll be going LIVE on my IG tomorrow at 2pm PST to chat about how I add peace to my home and how you can make your own little oasis in any space ✌️', 'It’s almost #valentinesday2021 , so why not treat yourself to a little #selflove ? We can’t take care of others if we don’t take care of ourselves first 💕 https://t.co/eUTwo8GEZc', 'If you’ve ever wondered who comes up with my wardrobe looks for @TheTalkCBS and @DancingABC this article is for you! I’m so excited to introduce my amazing stylist, Rhonda Spies, to everyone 🤗 https://t.co/oYcLqkn5WC', 'Valentine’s Day is around the corner! If you’re stumped on what to get your partner or your friends, click the link for 11 ideas! 💕 #ValentinesDay https://t.co/DGu3DiUWo5', ""I'm discussing “Survival Tips for Autoimmune Warriors ”. Monday, Feb 22 at 3:00 PM PST on @joinclubhouse. Join us! https://t.co/FpKXedqQ9Q"", 'What’s your vision for this year? Check out are latest article on one of my favorite creative outlets, vision boarding https://t.co/4lAjEba1bp', '@tschoener I love Pure Fiji coconut body butter. You can find on Amazon!']",human
809500704,Sherine Abdel-Wahab,sherine,,Internationally-acclaimed Egyptian Singer.,7132531,38,False,778,True,"['شكرا يا حبيبي، مهما قلتلك مش هيكون كفاية 🥰👩\u200d❤️\u200d👨😍...', '#وشي_الحقيقي من مسلسل #لحم_غزال.           https://t.co/IOBnxmQvjS', 'وشي الحقيقي بتاع زمان \nبالصدفة شفته من يومين \nمعرفتهوش....\n#وشي_الحقيقي', 'الحمدلله تم الاتفاق و غناء تتر مسلسل لحم غزال لصديقتي و حبيبتي النجمة غادة عبد الرازق. و يا رب يكون وشنا حلو على بعض في الشهر الكريم زي مشاعر باذنك يا رب، و كل سنة وانتوا طيبين🤲🏻❤️', 'https://t.co/5lrT56LBWe.                                       شرفت بغنائي للسيدة و الأم المصرية في عيدها امام قرينة السيد رئيس الجمهورية السيدة الفاضلة  انتصار السيسي و نخبة من سيدات مصر الملهمات.\n\n#هي_الدنيا', '#Ask_Sherine https://t.co/9ygGbLxJ96', 'بعد نزول اخبار وجود صوتي على تتر مسلسل في رمضان اؤكد عدم وجود اي تعاقد بذلك حتى الان.  تصبحوا على خير🥱🥱', '#Ask_Sherine 1 https://t.co/q87hDd0uxf', '#Ask_Sherine #tobecontinued https://t.co/Hs4KlaSr2y', 'حبايبي؟!', 'وحشتوني اوي، و وحشني كلامي معاكوا، و انا عارفة ان عندكوا اسئلة كتيرة و عاوزين تعرفوا حاجات كتيرة، عشان كدة هكون موجودة معاكوا يوم ١٧/٣ الساعة ٦ مساء ارد على اسئلتكوا من انهاردة ليوم ١٧ في  #Ask_Sherine', 'بحبك، ربنا ما يحرمني من دقات قلبك اللي بنام على صوتهم كل يوم، و يديمك ليا نعمة لاخر العمر...❤️ https://t.co/VdGwbP5zib', 'الي جمهوري الحبيب❤️#١٠٠_مليون_شكرا https://t.co/nS8eTNxCcZ', 'تزامنا مع الاجراءات و تدابير الصحة الاحترازية بدولة الامارات العربية المتحدة تم تأجيل حفل يوم ١٩ بالشارقة على مسرح المجاز لاشعار اخر. انشالله لقائنا قريب❤️', 'على مسرح المجاز بالشارقة يوم ١٩ فبراير انشالله نكون مع بعض انا و انتوا  مع حبيبتي @AssalaOfficial ❤️\n\n@almajazamphitheatre\n\nمسرح_المجاز #هلابالمجاز #الشارقة #الإمارات#⠀\n#LetsMajaz #AlMajazAmphitheatre #Sharjah https://t.co/rOIKauKTDO', '#مهرجان_أم_الإمارات \n❤️🇦🇪❤️', 'كل سنة و انت طيبة و جميلة و ناجحة يا اقرب صديقة لقلبي، يا رب سنة كلها  صحة و نجاح و سعادة 🥳❤️@SamiraSaid', 'احب اعزي الشعب و الفن المصري في وفاة الاستاذ الكبير وحيد حامد ربنا يغفر له و يرحمه. https://t.co/O21wtphwF5', '#مصر_ارض_الجمال                                  https://t.co/F3znQGKao9', 'كل سنة و انتوا طيبين و مع بعض و يا رب تتحقق كل حاجة تحلموا بيها السنة دي، وحشتوني❤️']",human
1015021614,Maureen Cordens,cordensmaureen,,,24,0,False,63,False,"['Wrijf het game of thrones trauma er nog maar eens in #marathonradio #frustraties #weenween', '@LeyssensSara hot chikkie ! 😘😉', 'Sunny day ☀️ #emx125 #lommel #mxgp', ""you first need to lose before you're lost"", '@NancyvandeVen naar boven vegen?', ""Life isn't fair at all ..."", '@_eveliinee eyla trutteke', 'SHTORMM', ""You're all just meat, blood and water"", '@NielsVngngdn snapt gij daar iets van? ☺', 'tis gewoon irritant om ulle bezig te zien', 'Diknek en grootbek ineens samen op school? TOEVAL', 'Wanneer ge het echt kwijt zijt doet het pas pijn', 'Jabalabadoe', 'please understand', 'ze hebben geen idee dat er in dit koppie omgaat', 'gebroken dromen zullen ooit nog waar komen', 'momentje da je je bf echt nodig hebt, en er eig niets eens een meer hebt 😕', 'one day', '@_eveliinee niets ☺💋']",human
492306486,Graham,GhamGraham,United Kingdom,"Man Utd fan. mostly here for football. Takes photos. Ex care worker, does stuff with computers often sarcastic.",2079,3344,False,37976,False,"[""@its_Hassuu @Elvis_RiGs @iwhiwhumitchel @Kebiruesuana You're going to have to let us know your secret."", ""@WorldOfJoe90 Lucky one arrived early and the other is arriving late, so we're staggering the meals, I might do this again on purpose to be fair!"", ""PayPal and Just Eat being weird means I've ordered two different takeaways from rival Italian restaurants and they'll both arrive at the same time."", '@Kebiruesuana Oh dear', '@Kebiruesuana Always assumed it was something to help people  have a basic idea of a line up more than something a manager would tell a player to play as.', ""Yes. \nIt's a treble.\nIt's not The Treble. https://t.co/8FUmNLbjat"", '@Mattiii37 @lewis7MU @Johnnie1610 @Jessica12628289 @LifeGuru__ @barneyrednews Neither is better than the other, just different.', 'Royal Albert Hall. \nBeen there for years.\nLove United Hate Glazers. https://t.co/HAlkWuTDVR', ""@kreeve @guardian They're Americans who moved to the UK, they have a YouTube channel where they talk about it."", ""@LifeGuru__ @barneyrednews The club has a net spend on transfers.\nThe club hasn't put ticket prices up.\n\nThe owners have taken money and only given us debt."", '@Mattiii37 @lewis7MU @Johnnie1610 @Jessica12628289 @LifeGuru__ @barneyrednews Stick to hand-egg lad.', '@biglittlepies @SmnLlyd5 So much confidence with so little knowledge', ""@WorldOfJoe90 They won't be posting because they know they'd get slaughtered. But there was plenty at half time."", 'The sad thing is there will be Man United ""fans"" upset that we managed an amazing 5 goal comeback in a European Semi Final because it doesn\'t suit their twitter agenda.\n\nIf you\'re annoyed the club you claim to support won that game. You don\'t support the club.\n\nIt\'s that simple.', 'Cavani is just a great player.', 'Ole needs to stop telling our defenders to not pay attention. Really annoying.', '@idiottwatorcunt @seanaw27 @anon_opin From the song Stan.', '@CarthyBernard @anon_opin Pretty sure half the Burger King menu is over £5', '@sodiumlights @anon_opin The inappropriate thing with that was that it was copied from a film made by a Holocaust survivor.', 'Thing doing the rounds on Facebook about Eberechi Eze of Crystal Palace.\nSounds like a great young man. https://t.co/ihXltcIVVE']",human
432537664,LJYN,jainabdulaziz,in the clouds.,"Stay hungry, Stay foolish.",30,0,False,120,False,"['@EugeneLeeYang What do you think about the cast of the new Death Note movie? Let me know your thoughts.', ""I'm at that time of my life where anything other than @halsey is inferior"", ""I was depressed. Then I watched an @Idubbbz video.....and I'm still depressed."", ""@AcaciaBrinley if you would've gotten a boy, what would you've named him?"", ""#America that's sad..."", '@mhznada عند إعطال إحدى الصاعد الرجاء الإتصال على الأرقام التالية لمساعد مشرف الأمن و السلامه - لجين المرعبه', '@Teatcher_Mona اعتذر عن الإزعاج ا.منى. شيكت على كل التغريدات و لم اجد ايميلك، ممكن من فضلك تزوديني بإيميل التواصل الخاص بك. شكرًا لك', '@Teatcher_Mona ما هو الإميل', '@Teatcher_Mona ارسلك هنا ولا أجيبها الفصل', '@Teatcher_Mona انا ما لقيت الباركود في سيارتي ما هو المطلوب مني الآن و شكرًا', '@LauraPotter2 ❤️❤️❤️❤️❤️❤️ luv u bb', '@LauraPotter2 love you SOOO much ❤️❤️❤️❤️❤️❤️❤️', '@MaggieLindemann you + purple hair = total slay https://t.co/xsHGkBkUBw', 'A woman is not obligated to provide access to her body as proof that she likes/loves you.', 'Reading an article on how to be skinny while eating chips because that is just me.', ""I'm too ugly to be an alien."", 'Other end: listening.... https://t.co/b2qrc91iyV', ""How to survive school: watch @RuPaul 's drag race - listen to @Madonna - bench watch all of @mytoecold videos- simply think of @rickygervais"", ""Well today a guy thought my brother was my boyfriend so there's that.."", ""I just wanna set around and eat KFC and watch hemlock grove and NOT face life . Cuz honestly that's LIVING !""]",human
